resistencia,tiempo,VCH2
3000,0.001596,1.26
3000,0.0016,1.26
3000,0.0016039999999999997,1.26
3000,0.0016079999999999998,1.26
3000,0.001612,1.26
3000,0.001616,1.26
3000,0.0016200000000000001,1.26
3000,0.0016239999999999998,1.26
3000,0.0016279999999999999,1.26
3000,0.001632,1.28
3000,0.001636,1.26
3000,0.0016399999999999997,1.26
3000,0.0016439999999999998,1.24
3000,0.001648,1.28
3000,0.001652,1.26
3000,0.0016560000000000001,1.28
3000,0.0016599999999999998,1.28
3000,0.001664,1.26
3000,0.001668,1.26
3000,0.001672,1.24
3000,0.0016759999999999998,1.26
3000,0.0016799999999999999,1.26
3000,0.001684,1.26
3000,0.001688,1.26
3000,0.0016920000000000001,1.26
3000,0.0016959999999999998,1.26
3000,0.0017,1.26
3000,0.001704,1.26
3000,0.001708,1.28
3000,0.0017119999999999998,1.26
3000,0.0017159999999999999,1.26
3000,0.00172,1.26
3000,0.001724,1.26
3000,0.0017280000000000002,1.26
3000,0.0017319999999999998,1.26
3000,0.001736,1.28
3000,0.00174,1.26
3000,0.001744,1.28
3000,0.0017479999999999998,1.26
3000,0.0017519999999999999,1.28
3000,0.001756,1.26
3000,0.00176,1.28
3000,0.0017640000000000002,1.28
3000,0.0017679999999999998,1.28
3000,0.001772,1.28
3000,0.001776,1.28
3000,0.0017800000000000001,1.28
3000,0.0017839999999999998,1.28
3000,0.0017879999999999999,1.26
3000,0.001792,1.26
3000,0.001796,1.28
3000,0.0017999999999999997,1.28
3000,0.0018039999999999998,1.28
3000,0.001808,1.28
3000,0.001812,1.26
3000,0.0018160000000000001,1.28
3000,0.0018199999999999998,1.28
3000,0.0018239999999999999,1.28
3000,0.001828,1.28
3000,0.001832,1.26
3000,0.0018359999999999997,1.26
3000,0.0018399999999999998,1.26
3000,0.001844,1.28
3000,0.001848,1.28
3000,0.0018520000000000001,1.28
3000,0.0018559999999999998,1.28
3000,0.0018599999999999999,1.28
3000,0.001864,1.26
3000,0.001868,1.26
3000,0.0018719999999999997,1.28
3000,0.0018759999999999998,1.28
3000,0.00188,1.28
3000,0.001884,1.28
3000,0.0018880000000000001,1.26
3000,0.0018919999999999998,1.28
3000,0.001896,1.28
3000,0.0019,1.28
3000,0.001904,1.28
3000,0.0019079999999999998,1.28
3000,0.0019119999999999999,1.28
3000,0.001916,1.28
3000,0.00192,1.28
3000,0.0019240000000000001,1.28
3000,0.0019279999999999998,1.28
3000,0.001932,1.26
3000,0.001936,1.28
3000,0.00194,1.28
3000,0.0019439999999999998,1.28
3000,0.0019479999999999999,1.28
3000,0.001952,1.28
3000,0.0019560000000000003,1.28
3000,0.00196,1.28
3000,0.0019639999999999996,1.28
3000,0.001968,1.28
3000,0.001972,1.28
3000,0.0019760000000000003,1.3
3000,0.00198,1.28
3000,0.0019839999999999997,1.28
3000,0.001988,1.28
3000,0.001992,1.28
3000,0.0019959999999999995,1.28
3000,0.002,1.3
3000,0.0020039999999999997,1.28
3000,0.0020080000000000002,1.28
3000,0.002012,1.28
3000,0.0020159999999999996,1.28
3000,0.00202,1.28
3000,0.0020239999999999998,1.3
3000,0.0020280000000000003,1.28
3000,0.002032,1.28
3000,0.0020359999999999996,1.3
3000,0.00204,1.28
3000,0.002044,1.28
3000,0.0020480000000000003,1.28
3000,0.002052,1.28
3000,0.0020559999999999997,1.28
3000,0.00206,1.28
3000,0.002064,1.3
3000,0.0020679999999999995,1.28
3000,0.002072,1.28
3000,0.0020759999999999997,1.28
3000,0.0020800000000000003,1.28
3000,0.002084,1.28
3000,0.0020879999999999996,1.28
3000,0.002092,1.3
3000,0.0020959999999999998,1.28
3000,0.0021000000000000003,1.3
3000,0.002104,1.28
3000,0.0021079999999999996,1.28
3000,0.002112,1.28
3000,0.002116,1.28
3000,0.0021200000000000004,1.3
3000,0.002124,1.28
3000,0.0021279999999999997,1.3
3000,0.002132,1.28
3000,0.002136,1.28
3000,0.0021399999999999995,1.3
3000,0.002144,1.28
3000,0.0021479999999999997,1.28
