resistencia,tiempo,VCH1,VCH2
1000,7.499999999999998e-05,1.26,-0.4
1000,7.600000000000011e-05,1.26,-0.4
1000,7.700000000000003e-05,1.26,-0.38
1000,7.799999999999994e-05,1.26,-0.38
1000,7.900000000000008e-05,1.28,-0.38
1000,7.999999999999999e-05,1.26,-0.34
1000,8.100000000000013e-05,1.26,-0.36
1000,8.200000000000004e-05,1.28,-0.36
1000,8.299999999999996e-05,1.26,-0.34
1000,8.400000000000009e-05,1.28,-0.34
1000,8.5e-05,1.28,-0.32
1000,8.599999999999992e-05,1.26,-0.32
1000,8.700000000000005e-05,1.28,-0.3
1000,8.799999999999997e-05,1.28,-0.3
1000,8.90000000000001e-05,1.26,-0.28
1000,9.000000000000002e-05,1.28,-0.28
1000,9.099999999999994e-05,1.26,-0.28
1000,9.200000000000007e-05,1.26,-0.28
1000,9.299999999999998e-05,1.28,-0.26
1000,9.400000000000012e-05,1.28,-0.26
1000,9.500000000000003e-05,1.28,-0.24
1000,9.599999999999995e-05,1.28,-0.24
1000,9.700000000000008e-05,1.28,-0.24
1000,9.8e-05,1.28,-0.22
1000,9.900000000000013e-05,1.28,-0.24
1000,0.00010000000000000005,1.28,-0.26
1000,0.00010099999999999996,1.28,-0.22
1000,0.0001020000000000001,1.28,-0.2
1000,0.00010300000000000001,1.28,-0.16
1000,0.00010399999999999993,1.28,-0.2
1000,0.00010500000000000006,1.28,-0.2
1000,0.00010599999999999997,1.28,-0.16
1000,0.00010700000000000011,1.28,-0.18
1000,0.00010800000000000002,1.28,-0.16
1000,0.00010899999999999994,1.26,-0.16
1000,0.00011000000000000007,1.28,-0.16
1000,0.00011099999999999999,1.28,-0.14
1000,0.00011200000000000012,1.28,-0.12
1000,0.00011300000000000004,1.28,-0.14
1000,0.00011399999999999995,1.26,-0.12
1000,0.00011500000000000008,1.28,-0.12
1000,0.000116,1.26,-0.08
1000,0.00011699999999999992,1.28,-0.1
1000,0.00011800000000000005,1.28,-0.1
1000,0.00011899999999999997,1.28,-0.08
1000,0.0001200000000000001,1.28,-0.1
1000,0.00012100000000000001,1.28,-0.08
1000,0.00012199999999999993,1.28,-0.06
1000,0.00012300000000000006,1.28,-0.06
1000,0.00012399999999999998,1.28,-0.06
1000,0.0001250000000000001,1.28,-0.06
